10:08:11.617 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@78572b02, org.springframework.security.web.context.SecurityContextPersistenceFilter@232b788f, org.springframework.security.web.header.HeaderWriterFilter@6353fba0, org.springframework.security.web.authentication.logout.LogoutFilter@73c4eaff, org.springframework.security.web.session.ConcurrentSessionFilter@177e7b12, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@681afc93, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5fd919b1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6f915401, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@39d8de6f, org.springframework.security.web.session.SessionManagementFilter@4ccf86e5, org.springframework.security.web.access.ExceptionTranslationFilter@1f657092, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@b68208f]
10:08:11.651 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
10:08:11.660 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
10:08:11.664 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Started AssignmentApplication in 0.274 seconds (JVM running for 687.373)
10:08:11.665 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
10:08:36.575 [restartedMain] INFO  c.e.assignment.AssignmentApplication - Starting AssignmentApplication using Java 19.0.1 on Khaoula with PID 30516 (C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment\target\classes started by jbeli in C:\Users\jbeli\eclipse-workspace\assignment.zip_expanded\assignment)
10:08:36.575 [restartedMain] INFO  c.e.assignment.AssignmentApplication - No active profile set, falling back to default profiles: default
10:08:36.729 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8082 (http)
10:08:36.729 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
10:08:36.730 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
10:08:36.743 [restartedMain] INFO  o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring embedded WebApplicationContext
10:08:36.743 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 165 ms
